# mapping_set_id: https://github.com/Pinellia7ternata/TCM-Symptom-Ontology/mappings/TCM-SO-ICD11.sssom.tsv
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_provider: https://github.com/Pinellia7ternata/TCM-Symptom-Ontology
# mapping_date: 2026-09-17
# creator_id: https://github.com/Pinellia7ternata
# mapping_tool: manual expert curation after lexical/semantic pre-screening
# object_source: ICD-11 for Mortality and Morbidity Statistics (MMS)
# comment_type
# comment: Subject classes are TCM Symptom Ontology (TCM-SO, release v4.10) symptom classes; predicate and object identify the cross-terminology alignment.
# curie_map:
#   TCM-SO: http://OntoTCM.org.cn/ontologies/tcm_v38/f#
#   HP: http://purl.obolibrary.org/obo/HP_
#   SNOMEDCT: http://snomed.info/id/
#   ICD11: https://icd.who.int/browse11/l-m/en#
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	curation_status
TCM-SO:sx_眵多	profuse eye discharge	skos:closeMatch	ICD11:MC14	Eye discharge	semapv:ManualMappingCuration	
TCM-SO:sx_眵多	profuse eye discharge	skos:closeMatch	ICD11:XE268	Electro-static discharge	semapv:ManualMappingCuration	
TCM-SO:sx_地图舌	Geographic tongue	skos:exactMatch	ICD11:DA03.1	Geographic tongue	semapv:ManualMappingCuration	
TCM-SO:sx_胸廓扁平	Thoracic cage flatness	skos:closeMatch	ICD11:SF93	Kidney yin deficiency pattern (TM1)	semapv:ManualMappingCuration	
TCM-SO:sx_大便清冷	clear and cold stool	skos:closeMatch	ICD11:XE484	Stool	semapv:ManualMappingCuration	
TCM-SO:sx_大便清冷	clear and cold stool	skos:closeMatch	ICD11:SF7M	Spleen and kidney yang deficiency pattern (TM1)	semapv:ManualMappingCuration	
TCM-SO:sx_尿多	polyuria	skos:closeMatch	ICD11:SM8D	Polyuria disorder (TM2)	semapv:ManualMappingCuration	
TCM-SO:sx_尿多	polyuria	skos:exactMatch	ICD11:MF55	Polyuria	semapv:ManualMappingCuration	
TCM-SO:sx_阴囊水肿	Edema	skos:exactMatch	ICD11:MG29	Oedema	semapv:ManualMappingCuration	
TCM-SO:sx_指_趾紫黑	Purplish-black fingers/toes	skos:closeMatch	ICD11:XM08L6	Afghanistan black	semapv:ManualMappingCuration	
TCM-SO:sx_疤痕色紫	Purple scar	skos:closeMatch	ICD11:SF01	Blood stasis pattern (TM1)	semapv:ManualMappingCuration	
TCM-SO:sx_舌色猪黑	pork-liver-dark tongue	skos:closeMatch	ICD11:XE9BL	Pork	semapv:ManualMappingCuration	under_review
TCM-SO:sx_舌色猪黑	pork-liver-dark tongue	skos:closeMatch	ICD11:DA03.1	Geographic tongue	semapv:ManualMappingCuration	
TCM-SO:sx_瞳神不圆	irregular pupil	skos:closeMatch	ICD11:LA11.60	Irregular pupil of the eye	semapv:ManualMappingCuration	
TCM-SO:sx_视大为小	micropsia	skos:closeMatch	ICD11:SC23	Uterine mass disorder (TM1)	semapv:ManualMappingCuration	
TCM-SO:sx_多食易饥	polyphagia with easy hunger	skos:closeMatch	ICD11:SF7E	Stomach yin deficiency pattern (TM1)	semapv:ManualMappingCuration	
TCM-SO:sx_泄泻	Diarrhea	skos:closeMatch	ICD11:SA55	Diarrhea disorder (TM1)	semapv:ManualMappingCuration	
TCM-SO:sx_泄泻	Diarrhea	skos:closeMatch	ICD11:XE484	Stool	semapv:ManualMappingCuration	
TCM-SO:sx_脓出痛剧	severe pain on pus discharge	skos:closeMatch	ICD11:XS2E	Severe pain	semapv:ManualMappingCuration	
TCM-SO:sx_结节小	Small nodule	skos:closeMatch	ICD11:SF01	Blood stasis pattern (TM1)	semapv:ManualMappingCuration	
TCM-SO:sx_带下粘稠	sticky vaginal discharge	skos:closeMatch	ICD11:MF3A	Vaginal discharge	semapv:ManualMappingCuration	
TCM-SO:sx_头小	microcephaly	skos:exactMatch	ICD11:LA05.0	Microcephaly	semapv:ManualMappingCuration	
TCM-SO:sx_呵欠声声	repeated yawning	skos:closeMatch	ICD11:MD11.D	Yawning	semapv:ManualMappingCuration	
TCM-SO:sx_呵欠声声	repeated yawning	skos:closeMatch	ICD11:SE91	Qi stagnation pattern (TM1)	semapv:ManualMappingCuration	
TCM-SO:sx_流泪	Reflex tearing	skos:exactMatch	ICD11:9A61	Tearing	semapv:ManualMappingCuration	
TCM-SO:sx_瞳神积血	blood accumulation in the pupil (hyphema)	skos:closeMatch	ICD11:SF9E	Blood accumulation in the bladder pattern (TM1)	semapv:ManualMappingCuration	
TCM-SO:sx_瞳神积血	blood accumulation in the pupil (hyphema)	skos:closeMatch	ICD11:SF99	Blood and heat accumulation in the uterus pattern (TM1)	semapv:ManualMappingCuration	
TCM-SO:sx_瞳神积血	blood accumulation in the pupil (hyphema)	skos:closeMatch	ICD11:SF86	Turbid phlegm accumulation in the lung pattern (TM1)	semapv:ManualMappingCuration	
TCM-SO:sx_心悸	Palpitations	skos:exactMatch	ICD11:MC81.3	Palpitations	semapv:ManualMappingCuration	
TCM-SO:sx_结核累累	numerous nodules (scrofula)	skos:closeMatch	ICD11:SF93	Kidney yin deficiency pattern (TM1)	semapv:ManualMappingCuration	
TCM-SO:sx_结核累累	numerous nodules (scrofula)	skos:closeMatch	ICD11:SF82	Lung and kidney yin deficiency pattern (TM1)	semapv:ManualMappingCuration	
TCM-SO:sx_经前面部粉刺	premenstrual facial acne	skos:closeMatch	ICD11:SF93	Kidney yin deficiency pattern (TM1)	semapv:ManualMappingCuration	
TCM-SO:sx_经前面部粉刺	premenstrual facial acne	skos:closeMatch	ICD11:SF82	Lung and kidney yin deficiency pattern (TM1)	semapv:ManualMappingCuration	under_review
TCM-SO:sx_经前面部粉刺	premenstrual facial acne	skos:closeMatch	ICD11:SF5H	Liver and kidney yin deficiency pattern (TM1)	semapv:ManualMappingCuration	
TCM-SO:sx_肉芽晦暗	dull dark granulation tissue	skos:closeMatch	ICD11:XA0UK0	Bone tissue	semapv:ManualMappingCuration	
TCM-SO:sx_皮肤粗糙	Skin roughness	skos:closeMatch	ICD11:SF55	Liver depression and blood stasis pattern (TM1)	semapv:ManualMappingCuration	
TCM-SO:sx_皮肤粗糙	Skin roughness	skos:closeMatch	ICD11:SF01	Blood stasis pattern (TM1)	semapv:ManualMappingCuration	
TCM-SO:sx_疮疡溃后如蜂窝	honeycomb-like sore after ulceration	skos:closeMatch	ICD11:DA01.10	Oral aphthae or aphtha-like ulceration	semapv:ManualMappingCuration	
TCM-SO:sx_皮肤抓痕	Skin-picking	skos:closeMatch	ICD11:SF02	Blood heat pattern (TM1)	semapv:ManualMappingCuration	
TCM-SO:sx_指骨节脱落	loss of finger joints	skos:closeMatch	ICD11:XE992	Loss of data	semapv:ManualMappingCuration	
TCM-SO:sx_指骨节脱落	loss of finger joints	skos:closeMatch	ICD11:XE0Z9	Loss of osseointegration	semapv:ManualMappingCuration	
TCM-SO:sx_肿块推之不动	immobile mass	skos:closeMatch	ICD11:SF01	Blood stasis pattern (TM1)	semapv:ManualMappingCuration	
TCM-SO:sx_怔忡	Palpitations	skos:exactMatch	ICD11:MC81.3	Palpitations	semapv:ManualMappingCuration	
TCM-SO:sx_喷嚏频作	frequent sneezing	skos:closeMatch	ICD11:MD11.A	Sneezing	semapv:ManualMappingCuration	
TCM-SO:sx_神昏	Coma	skos:closeMatch	ICD11:MB20.1	Coma	semapv:ManualMappingCuration	
TCM-SO:sx_瘙痒	Pruritus	skos:exactMatch	ICD11:EC90	Pruritus	semapv:ManualMappingCuration	
TCM-SO:sx_脐糜烂	umbilical erosion	skos:closeMatch	ICD11:DD53	Umbilical hernia	semapv:ManualMappingCuration	
TCM-SO:sx_脐糜烂	umbilical erosion	skos:closeMatch	ICD11:XA0VZ0	Umbilical artery	semapv:ManualMappingCuration	
TCM-SO:sx_脓腐旁串	sloughing pus tunneling sideways	skos:closeMatch	ICD11:XM6J14	Protectant, skin	semapv:ManualMappingCuration	
TCM-SO:sx_脓腐旁串	sloughing pus tunneling sideways	skos:closeMatch	ICD11:XM3B54	Arterolane and Piperaquine	semapv:ManualMappingCuration	
TCM-SO:sx_脓腐旁串	sloughing pus tunneling sideways	skos:closeMatch	ICD11:XM99F8	Insulins and analogues	semapv:ManualMappingCuration	
