# mapping_set_id: https://github.com/Pinellia7ternata/TCM-Symptom-Ontology/mappings/TCM-SO-SNOMEDCT.sssom.tsv
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_provider: https://github.com/Pinellia7ternata/TCM-Symptom-Ontology
# mapping_date: 2026-09-17
# creator_id: https://github.com/Pinellia7ternata
# mapping_tool: manual expert curation after lexical/semantic pre-screening
# object_source: SNOMED CT (International Edition)
# comment_type
# comment: Subject classes are TCM Symptom Ontology (TCM-SO, release v4.10) symptom classes; predicate and object identify the cross-terminology alignment.
# curie_map:
#   TCM-SO: http://OntoTCM.org.cn/ontologies/tcm_v38/f#
#   HP: http://purl.obolibrary.org/obo/HP_
#   SNOMEDCT: http://snomed.info/id/
#   ICD11: https://icd.who.int/browse11/l-m/en#
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	curation_status
TCM-SO:sx_皮肤萎黄	sallow-yellow skin	skos:closeMatch	SNOMEDCT:18165001	icterus	semapv:ManualMappingCuration	
TCM-SO:sx_尿少	oliguria	skos:exactMatch	SNOMEDCT:718403007	oliguria	semapv:ManualMappingCuration	
TCM-SO:sx_尿少	oliguria	skos:exactMatch	SNOMEDCT:83128009	oliguria	semapv:ManualMappingCuration	
TCM-SO:sx_肩痛	Shoulder pain	skos:closeMatch	SNOMEDCT:45326000	Shoulder pain	semapv:ManualMappingCuration	
TCM-SO:sx_手足心热	Fever	skos:closeMatch	SNOMEDCT:304213008	low grade fever	semapv:ManualMappingCuration	
TCM-SO:sx_手足心热	Fever	skos:exactMatch	SNOMEDCT:386661006	fever	semapv:ManualMappingCuration	
TCM-SO:sx_手足心热	Fever	skos:exactMatch	SNOMEDCT:50177009	fever	semapv:ManualMappingCuration	
TCM-SO:sx_皮肤色黄	Yellow discoloration of the skin	skos:exactMatch	SNOMEDCT:18165001	icterus	semapv:ManualMappingCuration	
TCM-SO:sx_皮肤色黄	Yellow discoloration of the skin	skos:closeMatch	SNOMEDCT:119419001	blue discoloration of the skin	semapv:ManualMappingCuration	
TCM-SO:sx_皮肤色黄	Yellow discoloration of the skin	skos:closeMatch	SNOMEDCT:3415004	blue discoloration of the skin	semapv:ManualMappingCuration	
TCM-SO:sx_阴茎粗长	thickened and elongated penis	skos:closeMatch	SNOMEDCT:88673001	enlarged penis	semapv:ManualMappingCuration	
TCM-SO:sx_乳蛾肿大	enlarged tonsil	skos:closeMatch	SNOMEDCT:46689006	enlarged tonsils	semapv:ManualMappingCuration	
TCM-SO:sx_哮鸣	Wheezing	skos:exactMatch	SNOMEDCT:56018004	wheezing	semapv:ManualMappingCuration	
TCM-SO:sx_哮鸣	Wheezing	skos:closeMatch	SNOMEDCT:24612001	rhonchi	semapv:ManualMappingCuration	
TCM-SO:sx_脐腹痛	periumbilical pain	skos:closeMatch	SNOMEDCT:21522001	abdominal discomfort	semapv:ManualMappingCuration	
TCM-SO:sx_皮疹细小	fine rash	skos:closeMatch	SNOMEDCT:112625008	rash	semapv:ManualMappingCuration	
TCM-SO:sx_皮疹细小	fine rash	skos:closeMatch	SNOMEDCT:271807003	rash	semapv:ManualMappingCuration	
TCM-SO:sx_小儿咬爪甲	nail biting in children	skos:closeMatch	SNOMEDCT:37298006	nail biting	semapv:ManualMappingCuration	
TCM-SO:sx_眼花	blurred vision (eye dazzle)	skos:exactMatch	SNOMEDCT:111516008	blurred vision	semapv:ManualMappingCuration	
TCM-SO:sx_眼花	blurred vision (eye dazzle)	skos:exactMatch	SNOMEDCT:246636008	blurred vision	semapv:ManualMappingCuration	
TCM-SO:sx_舌有紫斑	Tongue purpura	skos:closeMatch	SNOMEDCT:12393003	blood spots	semapv:ManualMappingCuration	
TCM-SO:sx_舌有紫斑	Tongue purpura	skos:closeMatch	SNOMEDCT:387778001	blood spots	semapv:ManualMappingCuration	
TCM-SO:sx_舌有紫斑	Tongue purpura	skos:closeMatch	SNOMEDCT:423902002	blood spots	semapv:ManualMappingCuration	
